Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1571565282,2019-10-20T09:54:42Z,TRA77T,"36.677158,-4.495325",0,0,89
1571565316,2019-10-20T09:55:16Z,TRA77T,"36.676971,-4.495541",0,9,225
1571565342,2019-10-20T09:55:42Z,TRA77T,"36.676762,-4.495746",0,10,208
1571565358,2019-10-20T09:55:58Z,TRA77T,"36.676701,-4.495955",0,9,271
1571565376,2019-10-20T09:56:16Z,TRA77T,"36.676716,-4.496184",0,2,287
1571565397,2019-10-20T09:56:37Z,TRA77T,"36.676914,-4.496403",0,11,316
1571565417,2019-10-20T09:56:57Z,TRA77T,"36.67709,-4.496637",0,10,304
1571565433,2019-10-20T09:57:13Z,TRA77T,"36.677204,-4.496841",0,10,298
1571565448,2019-10-20T09:57:28Z,TRA77T,"36.677334,-4.497046",0,11,306
1571565673,2019-10-20T10:01:13Z,TRA77T,"36.67709,-4.497251",0,20,239
1571565679,2019-10-20T10:01:19Z,TRA77T,"36.677078,-4.497513",0,22,284
1571565686,2019-10-20T10:01:26Z,TRA77T,"36.677193,-4.497762",0,21,306
1571565694,2019-10-20T10:01:34Z,TRA77T,"36.677364,-4.4981",0,20,303
1571565700,2019-10-20T10:01:40Z,TRA77T,"36.677444,-4.498329",0,19,281
1571565709,2019-10-20T10:01:49Z,TRA77T,"36.677368,-4.498697",0,21,236
1571565715,2019-10-20T10:01:55Z,TRA77T,"36.677238,-4.498945",0,22,244
1571565722,2019-10-20T10:02:02Z,TRA77T,"36.677227,-4.499223",0,21,275
1571565730,2019-10-20T10:02:10Z,TRA77T,"36.677387,-4.499602",0,22,315
1571565736,2019-10-20T10:02:16Z,TRA77T,"36.677547,-4.499817",0,22,312
1571565743,2019-10-20T10:02:23Z,TRA77T,"36.677708,-4.500046",0,21,312
1571565751,2019-10-20T10:02:31Z,TRA77T,"36.677937,-4.500362",0,21,312
1571565760,2019-10-20T10:02:40Z,TRA77T,"36.678192,-4.500742",0,23,312
1571565766,2019-10-20T10:02:46Z,TRA77T,"36.678383,-4.500961",0,27,312
1571565778,2019-10-20T10:02:58Z,TRA77T,"36.678875,-4.501648",0,15,312
1571565791,2019-10-20T10:03:11Z,TRA77T,"36.67952,-4.502612",0,17,312
1571565797,2019-10-20T10:03:17Z,TRA77T,"36.679848,-4.503065",0,17,312
1571565810,2019-10-20T10:03:30Z,TRA77T,"36.680523,-4.504",0,18,312
1571565821,2019-10-20T10:03:41Z,TRA77T,"36.681164,-4.504852",0,18,312
1571565827,2019-10-20T10:03:47Z,TRA77T,"36.681522,-4.505417",0,18,312
1571565833,2019-10-20T10:03:53Z,TRA77T,"36.681885,-4.505899",0,18,312
1571565839,2019-10-20T10:03:59Z,TRA77T,"36.68222,-4.506382",0,19,312
1571565845,2019-10-20T10:04:05Z,TRA77T,"36.68256,-4.506798",0,19,312
1571565851,2019-10-20T10:04:11Z,TRA77T,"36.682941,-4.50739",0,19,312
1571565857,2019-10-20T10:04:17Z,TRA77T,"36.683304,-4.507886",0,19,312
1571565863,2019-10-20T10:04:23Z,TRA77T,"36.683662,-4.508398",0,19,312
1571565869,2019-10-20T10:04:29Z,TRA77T,"36.68399,-4.508801",0,18,312
1571565875,2019-10-20T10:04:35Z,TRA77T,"36.684349,-4.509347",0,17,312
1571565881,2019-10-20T10:04:41Z,TRA77T,"36.68462,-4.509727",0,32,309
1571565887,2019-10-20T10:04:47Z,TRA77T,"36.68491,-4.510019",0,30,326
1571565893,2019-10-20T10:04:53Z,TRA77T,"36.685223,-4.510224",0,30,337
1571565903,2019-10-20T10:05:03Z,TRA77T,"36.685673,-4.510646",0,33,315
1571565915,2019-10-20T10:05:15Z,TRA77T,"36.686131,-4.511304",0,25,300
1571565921,2019-10-20T10:05:21Z,TRA77T,"36.686211,-4.511619",0,21,272
1571565930,2019-10-20T10:05:30Z,TRA77T,"36.686153,-4.511875",0,9,264
1571566371,2019-10-20T10:12:51Z,TRA77T,"36.685947,-4.512134",0,19,225
1571566377,2019-10-20T10:12:57Z,TRA77T,"36.685753,-4.512334",0,25,219
1571566386,2019-10-20T10:13:06Z,TRA77T,"36.685329,-4.512591",0,28,180
1571566394,2019-10-20T10:13:14Z,TRA77T,"36.684883,-4.512463",0,27,154
1571566400,2019-10-20T10:13:20Z,TRA77T,"36.684654,-4.512372",0,18,177
1571566410,2019-10-20T10:13:30Z,TRA77T,"36.684437,-4.512448",0,13,205
1571566461,2019-10-20T10:14:21Z,TRA77T,"36.684128,-4.51205",0,22,132
1571566468,2019-10-20T10:14:28Z,TRA77T,"36.683372,-4.511042",0,52,132
1571566479,2019-10-20T10:14:39Z,TRA77T,"36.680302,-4.50698",0,100,132
1571566485,2019-10-20T10:14:45Z,TRA77T,"36.678207,-4.504014",0,125,132
1571566497,2019-10-20T10:14:57Z,TRA77T,"36.672688,-4.496622",125,155,131
1571566503,2019-10-20T10:15:03Z,TRA77T,"36.669895,-4.492532",300,155,130
1571566510,2019-10-20T10:15:10Z,TRA77T,"36.666962,-4.488441",525,155,130
1571566522,2019-10-20T10:15:22Z,TRA77T,"36.66082,-4.480786",900,158,138
1571566534,2019-10-20T10:15:34Z,TRA77T,"36.654114,-4.473364",1325,162,137
1571566540,2019-10-20T10:15:40Z,TRA77T,"36.650623,-4.469565",1550,165,138
1571566553,2019-10-20T10:15:53Z,TRA77T,"36.643295,-4.461021",1925,177,137
1571566564,2019-10-20T10:16:04Z,TRA77T,"36.635834,-4.452095",2325,192,135
1571566576,2019-10-20T10:16:16Z,TRA77T,"36.628006,-4.442425",2825,202,135
1571566582,2019-10-20T10:16:22Z,TRA77T,"36.623749,-4.437389",3075,210,135
1571566595,2019-10-20T10:16:35Z,TRA77T,"36.615143,-4.426975",3575,222,135
1571566601,2019-10-20T10:16:41Z,TRA77T,"36.610428,-4.421482",3950,223,136
1571566612,2019-10-20T10:16:52Z,TRA77T,"36.601883,-4.411712",4650,223,136
1571566623,2019-10-20T10:17:03Z,TRA77T,"36.592854,-4.400843",5225,234,136
1571566636,2019-10-20T10:17:16Z,TRA77T,"36.582733,-4.38858",5875,239,136
1571566649,2019-10-20T10:17:29Z,TRA77T,"36.572433,-4.377365",6500,245,142
1571566657,2019-10-20T10:17:37Z,TRA77T,"36.563572,-4.371156",6950,245,156
1571566664,2019-10-20T10:17:44Z,TRA77T,"36.556866,-4.36876",7275,243,168
1571566672,2019-10-20T10:17:52Z,TRA77T,"36.547073,-4.368095",7775,239,183
