  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    940.51190 |     639.83215 |       1.34154 |       0.00000 |      12.41773 |      13.41773 |       5.13838 |     136.78929 |     180.81065 |     186.47986 |     186.27731 |     157.41431 |     214.59720 |     214.59723 |      -0.00400 |      -0.01843 |      -0.00049 |       3.26486 |       0.15806 |      57.23225 |      55.91180 |       5.93653 |      -0.01291 |      57.22802 |      -2.67083 |      -0.00191 |      51.86230 |       4.20388 |    2095.25977 |    2098.16211 |       0.00000 |    1593.71545 |      51.50000 |       4.00000 |   14017.37109 |     495.58075 |  -40354.91797 |      80.42146 |      -4.97795 |     -52.06585 |     422.27664 |       0.06950 | 
    940.61200 |     639.93225 |       1.44163 |       0.00000 |      12.41776 |      13.41776 |       5.13841 |     142.78780 |     180.80330 |     186.46815 |     186.24602 |     164.31726 |     214.58372 |     214.58372 |       0.00618 |      -0.03157 |      -0.00121 |       3.27464 |       0.00831 |      57.22721 |      55.90672 |       6.07245 |      -0.00518 |      57.23075 |      -2.79695 |       0.00959 |      51.86235 |       4.20400 |    2093.75342 |    2096.75952 |       0.00000 |    1663.61890 |      51.50000 |       4.00000 |   14025.41992 |     495.07089 |  -40360.12891 |      80.40987 |      -5.18862 |     -52.05207 |     453.73398 |       0.07468 | 
    940.71198 |     640.03223 |       1.54161 |       0.00000 |      12.41779 |      13.41779 |       5.13844 |     148.02805 |     180.80244 |     186.46295 |     186.22377 |     170.34764 |     214.57774 |     214.57774 |       0.01101 |      -0.03465 |      -0.00155 |       3.33127 |      -0.18758 |      57.21903 |      55.89850 |       6.23448 |       0.00719 |      57.23147 |      -2.90236 |       0.01714 |      51.86240 |       4.20412 |    2092.18457 |    2095.29419 |       0.00000 |    1724.60645 |      51.50000 |       4.00000 |   14033.45801 |     494.54211 |  -40365.33203 |      80.40044 |      -5.36481 |     -52.04385 |     485.14990 |       0.07985 | 
    940.81201 |     640.13220 |       1.64163 |       0.00000 |      12.41782 |      13.41782 |       5.13846 |     152.59227 |     180.80843 |     186.46465 |     186.21263 |     175.60005 |     214.57970 |     214.57971 |       0.00644 |      -0.03036 |      -0.00162 |       3.38117 |      -0.37517 |      57.20974 |      55.88917 |       6.36127 |       0.02061 |      57.22995 |      -2.97924 |       0.02108 |      51.86245 |       4.20423 |    2090.56689 |    2093.78027 |       0.00000 |    1777.63330 |      51.50000 |       4.00000 |   14041.50000 |     493.99838 |  -40370.53906 |      80.39388 |      -5.49353 |     -52.04217 |     516.57800 |       0.08502 | 
    940.91193 |     640.23218 |       1.74158 |       0.00000 |      12.41784 |      13.41784 |       5.13849 |     156.54675 |     180.81851 |     186.47047 |     186.20529 |     180.15079 |     214.58640 |     214.58636 |       0.00458 |      -0.02244 |      -0.00155 |       3.41114 |      -0.52580 |      57.20050 |      55.87989 |       6.46782 |       0.03229 |      57.22670 |      -3.05585 |       0.02356 |      51.86249 |       4.20435 |    2088.90869 |    2092.22559 |       0.00000 |    1823.46655 |      51.50000 |       4.00000 |   14049.53516 |     493.44232 |  -40375.73828 |      80.38737 |      -5.62192 |     -52.04399 |     547.98206 |       0.09019 | 
    941.01202 |     640.33228 |       1.84168 |       0.00000 |      12.41787 |      13.41787 |       5.13852 |     159.96815 |     180.83401 |     186.48180 |     186.20436 |     184.08807 |     214.59943 |     214.59941 |       0.00221 |      -0.01538 |      -0.00148 |       3.43173 |      -0.63208 |      57.19174 |      55.87109 |       6.55822 |       0.04092 |      57.22229 |      -3.12569 |       0.02611 |      51.86254 |       4.20447 |    2087.20728 |    2090.62793 |       0.00000 |    1862.99097 |      51.50000 |       4.00000 |   14057.58105 |     492.87305 |  -40380.94922 |      80.38261 |      -5.73916 |     -52.04930 |     579.43079 |       0.09536 | 
    941.11188 |     640.43213 |       1.94153 |       0.00000 |      12.41790 |      13.41790 |       5.13855 |     162.90770 |     180.85669 |     186.50038 |     186.21358 |     187.47084 |     214.62080 |     214.62080 |      -0.00627 |      -0.01067 |      -0.00147 |       3.41951 |      -0.70527 |      57.18355 |      55.86287 |       6.59821 |       0.04682 |      57.21705 |      -3.17793 |       0.02934 |      51.86258 |       4.20458 |    2085.47729 |    2089.00122 |       0.00000 |    1896.79834 |      51.50000 |       4.00000 |   14065.60645 |     492.29514 |  -40386.14844 |      80.38154 |      -5.82723 |     -52.05880 |     610.80194 |       0.10053 | 
    941.21198 |     640.53223 |       2.04161 |       0.00000 |      12.41793 |      13.41793 |       5.13857 |     165.43925 |     180.88626 |     186.52600 |     186.22969 |     190.38409 |     214.65030 |     214.65030 |      -0.01453 |      -0.00725 |      -0.00150 |       3.35649 |      -0.75572 |      57.17590 |      55.85518 |       6.58721 |       0.05058 |      57.21132 |      -3.22996 |       0.03292 |      51.86263 |       4.20470 |    2083.71509 |    2087.34253 |       0.00000 |    1925.73486 |      51.50000 |       4.00000 |   14073.65137 |     491.70728 |  -40391.35938 |      80.38300 |      -5.91518 |     -52.07093 |     642.24792 |       0.10570 | 
    941.31195 |     640.63220 |       2.14161 |       0.00000 |      12.41795 |      13.41795 |       5.13860 |     167.60835 |     180.92273 |     186.55867 |     186.25027 |     192.88025 |     214.68790 |     214.68790 |      -0.01737 |      -0.00433 |      -0.00153 |       3.26148 |      -0.78856 |      57.16855 |      55.84780 |       6.55712 |       0.05251 |      57.20539 |      -3.29490 |       0.03659 |      51.86268 |       4.20482 |    2081.92188 |    2085.65283 |       0.00000 |    1950.31860 |      51.50000 |       4.00000 |   14081.69043 |     491.10999 |  -40396.56641 |      80.38616 |      -6.02498 |     -52.08443 |     673.67249 |       0.11087 | 
    941.41187 |     640.73212 |       2.24153 |       0.00000 |      12.41798 |      13.41798 |       5.13863 |     169.46448 |     180.96634 |     186.59859 |     186.27567 |     195.01625 |     214.73383 |     214.73383 |      -0.01540 |      -0.00125 |      -0.00153 |       3.16711 |      -0.80395 |      57.16117 |      55.84038 |       6.53908 |       0.05270 |      57.19933 |      -3.37121 |       0.03979 |      51.86272 |       4.20494 |    2080.09058 |    2083.92456 |       0.00000 |    1971.11401 |      51.50000 |       4.00000 |   14089.72266 |     490.50107 |  -40401.76953 |      80.39123 |      -6.15405 |     -52.09936 |     705.07458 |       0.11604 | 
    941.51190 |     640.83209 |       2.34152 |       0.00000 |      12.41801 |      13.41801 |       5.13866 |     171.05357 |     181.01764 |     186.64629 |     186.30765 |     196.84494 |     214.78873 |     214.78874 |      -0.01132 |       0.00094 |      -0.00154 |       3.09067 |      -0.80418 |      57.15353 |      55.83270 |       6.54346 |       0.05126 |      57.19323 |      -3.45201 |       0.04274 |      51.86277 |       4.20505 |    2078.21411 |    2082.15161 |       0.00000 |    1988.65027 |      51.50000 |       4.00000 |   14097.76074 |     489.87839 |  -40406.98047 |      80.39908 |      -6.29094 |     -52.11613 |     736.50275 |       0.12121 | 
    941.61194 |     640.93219 |       2.44161 |       0.00000 |      12.41804 |      13.41804 |       5.13869 |     172.41333 |     181.07693 |     186.70212 |     186.34735 |     198.40973 |     214.85297 |     214.85295 |      -0.00665 |       0.00336 |      -0.00152 |       3.03992 |      -0.79301 |      57.14549 |      55.82462 |       6.57332 |       0.04855 |      57.18703 |      -3.53259 |       0.04498 |      51.86282 |       4.20517 |    2076.29077 |    2080.33154 |       0.00000 |    2003.36487 |      51.50000 |       4.00000 |   14105.80859 |     489.24127 |  -40412.19922 |      80.41018 |      -6.42778 |     -52.13519 |     767.96948 |       0.12639 | 
    941.71191 |     641.03210 |       2.54153 |       0.00000 |      12.41807 |      13.41807 |       5.13871 |     173.57306 |     181.14331 |     186.76512 |     186.39401 |     199.74431 |     214.92548 |     214.92548 |      -0.00080 |       0.00831 |      -0.00138 |       3.01979 |      -0.75870 |      57.13759 |      55.81669 |       6.63317 |       0.04391 |      57.18064 |      -3.61252 |       0.04493 |      51.86287 |       4.20529 |    2074.32617 |    2078.47021 |       0.00000 |    2015.60730 |      51.50000 |       4.00000 |   14113.84375 |     488.59161 |  -40417.41016 |      80.42411 |      -6.56388 |     -52.15649 |     799.38947 |       0.13156 | 
    941.81189 |     641.13214 |       2.64152 |       0.00000 |      12.41809 |      13.41809 |       5.13874 |     174.56430 |     181.21727 |     186.83582 |     186.44933 |     200.88501 |     215.00684 |     215.00684 |       0.00422 |       0.01222 |      -0.00123 |       3.03137 |      -0.69881 |      57.13010 |      55.80916 |       6.71825 |       0.03676 |      57.17442 |      -3.68598 |       0.04398 |      51.86291 |       4.20540 |    2072.31689 |    2076.56396 |       0.00000 |    2025.74902 |      51.50000 |       4.00000 |   14121.88672 |     487.92834 |  -40422.62500 |      80.44194 |      -6.68948 |     -52.18003 |     830.84137 |       0.13674 | 
    941.91193 |     641.23212 |       2.74154 |       0.00000 |      12.41812 |      13.41812 |       5.13877 |     175.41087 |     181.29900 |     186.91444 |     186.51477 |     201.85924 |     215.09731 |     215.09732 |       0.00645 |       0.01627 |      -0.00105 |       3.06411 |      -0.61666 |      57.12328 |      55.80230 |       6.81264 |       0.02734 |      57.16842 |      -3.74757 |       0.04163 |      51.86296 |       4.20552 |    2070.26953 |    2074.42749 |       0.00000 |    2034.07727 |      51.50000 |       4.00000 |   14129.93359 |     487.25336 |  -40427.84375 |      80.46438 |      -6.79560 |     -52.20625 |     862.30981 |       0.14192 | 
    942.01215 |     641.33240 |       2.84177 |       0.00000 |      12.41815 |      13.41815 |       5.13880 |     176.13538 |     181.37563 |     186.98767 |     186.57664 |     202.69298 |     215.18158 |     215.18159 |       0.00696 |       0.01964 |      -0.00085 |       3.10361 |      -0.51279 |      57.11757 |      55.79655 |       6.90436 |       0.01565 |      57.16289 |      -3.79975 |       0.03801 |      51.86300 |       4.20564 |    2068.18579 |    2072.19238 |       0.00000 |    2040.85913 |      51.50000 |       4.00000 |   14138.00000 |     486.56717 |  -40433.07813 |      80.48573 |      -6.88583 |     -52.23090 |     893.85809 |       0.14711 | 
    942.11206 |     641.43231 |       2.94169 |       0.00000 |      12.41818 |      13.41818 |       5.13882 |     176.75241 |     181.45598 |     187.06467 |     186.64409 |     203.40305 |     215.27019 |     215.27019 |       0.00580 |       0.02269 |      -0.00062 |       3.14022 |      -0.39103 |      57.11319 |      55.79214 |       6.98399 |       0.00204 |      57.15803 |      -3.84276 |       0.03298 |      51.86305 |       4.20576 |    2066.08179 |    2069.93774 |       0.00000 |    2046.28369 |      51.50000 |       4.00000 |   14146.04395 |     485.87497 |  -40438.30078 |      80.51015 |      -6.96089 |     -52.25628 |     925.31848 |       0.15229 | 
    942.21216 |     641.53241 |       3.04180 |       0.00000 |      12.41820 |      13.41820 |       5.13885 |     177.28130 |     181.54263 |     187.14810 |     186.71918 |     204.01167 |     215.36620 |     215.36623 |       0.00411 |       0.02585 |      -0.00035 |       3.16852 |      -0.25100 |      57.11040 |      55.78930 |       7.04945 |      -0.01343 |      57.15396 |      -3.87994 |       0.02626 |      51.86310 |       4.20587 |    2063.95142 |    2067.65625 |       0.00000 |    2050.57275 |      51.50000 |       4.00000 |   14154.10449 |     485.17453 |  -40443.53125 |      80.53858 |      -7.02648 |     -52.28275 |     956.84772 |       0.15748 | 
    942.31226 |     641.63251 |       3.14192 |       0.00000 |      12.41823 |      13.41823 |       5.13888 |     177.73495 |     181.63524 |     187.23761 |     186.80127 |     204.53374 |     215.46919 |     215.46922 |       0.00204 |       0.02866 |      -0.00003 |       3.18586 |      -0.09387 |      57.10939 |      55.78826 |       7.09919 |      -0.03058 |      57.15091 |      -3.91241 |       0.01794 |      51.86314 |       4.20599 |    2061.80054 |    2065.35425 |       0.00000 |    2053.88208 |      51.50000 |       4.00000 |   14162.16992 |     484.46783 |  -40448.76953 |      80.57098 |      -7.08445 |     -52.30981 |     988.39606 |       0.16267 | 
    942.41187 |     641.73212 |       3.24151 |       0.00000 |      12.41826 |      13.41826 |       5.13891 |     178.12366 |     181.73244 |     187.33183 |     186.88879 |     204.98105 |     215.57764 |     215.57764 |      -0.00022 |       0.03107 |       0.00032 |       3.19063 |       0.07756 |      57.11038 |      55.78921 |       7.13270 |      -0.04894 |      57.14902 |      -3.94127 |       0.00806 |      51.86319 |       4.20611 |    2059.64331 |    2063.04639 |       0.00000 |    2056.34326 |      51.50000 |       4.00000 |   14170.19629 |     483.75943 |  -40453.98047 |      80.60681 |      -7.13658 |     -52.33680 |    1019.79193 |       0.16784 | 
    942.51196 |     641.83221 |       3.34159 |       0.00000 |      12.41829 |      13.41829 |       5.13894 |     178.46207 |     181.83450 |     187.43098 |     186.98167 |     205.37048 |     215.69173 |     215.69173 |      -0.00254 |       0.03216 |       0.00067 |       3.18223 |       0.26062 |      57.11340 |      55.79219 |       7.15085 |      -0.06823 |      57.14851 |      -3.96800 |      -0.00309 |      51.86324 |       4.20623 |    2057.45923 |    2060.71094 |       0.00000 |    2058.10425 |      51.50000 |       4.00000 |   14178.26563 |     483.04254 |  -40459.21875 |      80.64621 |      -7.18537 |     -52.36336 |    1051.35706 |       0.17303 | 
