
  _real,_time |   _totl,_time |   missn,_time |   timer,_time |   _zulu,_time |   local,_time |   hobbs,_time |   _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    256.76160 |       0.05025 |       0.05025 |       0.00000 |      15.93001 |      16.93001 |      55.10684 |       1.15388 |     157.48430 |     162.45285 |     162.45247 |       1.32786 |     186.94740 |     186.94740 |       0.00481 |      -0.00000 |       0.00000 |       0.41684 |       0.26814 |     236.79941 |     235.32550 |       0.28969 |      -0.00152 |     236.79810 |       0.12550 |       0.00000 |      52.05325 |       4.68193 |    2108.14380 |    2120.25781 |       0.00000 |      15.43510 |      52.50000 |       5.00000 |  -21774.91992 |     411.86777 |   49688.03906 |     -70.13026 |      -0.40799 |      45.45349 |      13.77927 |       0.00227 | 
    260.00763 |       0.10050 |       0.10050 |       0.00000 |      15.93003 |      16.93003 |      55.10685 |       3.59412 |     157.44807 |     162.41553 |     162.41502 |       4.13604 |     186.90445 |     186.90445 |       0.00974 |      -0.00001 |       0.00000 |       0.44149 |       0.26811 |     236.79950 |     235.32562 |       0.58112 |      -0.00307 |     236.79837 |      -0.14129 |      -0.00033 |      52.05323 |       4.68188 |    2108.12598 |    2120.24023 |       0.00000 |      48.08282 |      52.50000 |       5.00000 |  -21778.44336 |     411.83255 |   49690.32422 |     -70.11303 |      -0.79699 |      45.43962 |      27.55475 |       0.00453 | 
    264.91870 |       0.24623 |       0.24623 |       0.00000 |      15.93007 |      16.93007 |      55.10690 |      15.49288 |     157.36365 |     162.32773 |     162.31020 |      17.82888 |     186.80342 |     186.80342 |       0.02015 |      -0.00008 |       0.00003 |       0.57692 |       0.26769 |     236.80014 |     235.32631 |       1.41722 |      -0.00735 |     236.79936 |      -0.84196 |      -0.00271 |      52.05317 |       4.68173 |    2107.74341 |    2119.85742 |       0.00000 |     207.32697 |      52.50000 |       5.00000 |  -21788.65820 |     411.62949 |   49696.94141 |     -70.06521 |      -1.81780 |      45.40098 |      67.48328 |       0.01111 | 
    265.00076 |       0.29648 |       0.29648 |       0.00000 |      15.93008 |      16.93008 |      55.10691 |      20.77926 |     157.34070 |     162.30353 |     162.27576 |      23.91235 |     186.77556 |     186.77554 |       0.02230 |      -0.00011 |       0.00004 |       0.63972 |       0.26738 |     236.80048 |     235.32666 |       1.69739 |      -0.00874 |     236.79979 |      -1.05934 |      -0.00372 |      52.05315 |       4.68168 |    2107.50220 |    2119.61621 |       0.00000 |     278.09689 |      52.50000 |       5.00000 |  -21792.17773 |     411.52615 |   49699.22266 |     -70.04964 |      -2.13427 |      45.38831 |      81.24530 |       0.01337 | 
    265.11154 |       0.40726 |       0.40726 |       0.00000 |      15.93011 |      16.93011 |      55.10694 |      33.26719 |     157.29913 |     162.25905 |     162.20375 |      38.28320 |     186.72438 |     186.72438 |       0.02478 |      -0.00019 |       0.00007 |       0.79194 |       0.26639 |     236.80145 |     235.32767 |       2.28599 |      -0.01156 |     236.80087 |      -1.49572 |      -0.00611 |      52.05311 |       4.68157 |    2106.80396 |    2118.76514 |       0.00000 |     445.31497 |      52.50000 |       5.00000 |  -21799.93555 |     411.24762 |   49704.25000 |     -70.01733 |      -2.76928 |      45.36178 |     111.57291 |       0.01836 | 
    265.22064 |       0.51636 |       0.51636 |       0.00000 |      15.93014 |      16.93014 |      55.10697 |      45.86721 |     157.26869 |     162.22533 |     162.13872 |      52.78305 |     186.68558 |     186.68558 |       0.02447 |      -0.00028 |       0.00010 |       0.94716 |       0.26491 |     236.80261 |     235.32887 |       2.81779 |      -0.01402 |     236.80209 |      -1.87232 |      -0.00853 |      52.05306 |       4.68146 |    2105.91479 |    2117.40259 |       0.00000 |     614.08557 |      52.50000 |       5.00000 |  -21807.57227 |     410.91199 |   49709.19922 |     -69.98843 |      -3.31699 |      45.33769 |     141.42657 |       0.02328 | 
    265.40201 |       0.64994 |       0.64994 |       0.00000 |      15.93018 |      16.93018 |      55.10701 |      61.19915 |     157.24200 |     162.19469 |     162.06688 |      70.42673 |     186.65031 |     186.65031 |       0.02113 |      -0.00041 |       0.00016 |       1.12248 |       0.26223 |     236.80432 |     235.33063 |       3.39558 |      -0.01654 |     236.80379 |      -2.27480 |      -0.01146 |      52.05301 |       4.68132 |    2104.57349 |    2115.48071 |       0.00000 |     819.51465 |      52.50000 |       5.00000 |  -21816.91992 |     410.42398 |   49715.25000 |     -69.95687 |      -3.90208 |      45.31081 |     177.96376 |       0.02929 | 
    298.12067 |       1.07129 |       1.07129 |       0.00000 |      15.93030 |      16.93030 |      55.10712 |     101.10994 |     157.22154 |     162.16003 |     161.89914 |     116.35525 |     186.61044 |     186.61047 |       0.00820 |       0.01284 |       0.00056 |       1.49139 |       0.34126 |     236.81290 |     235.33934 |       4.74044 |      -0.02841 |     236.81155 |      -3.25078 |      -0.01361 |      52.05284 |       4.68089 |    2098.92993 |    2108.00806 |       0.00000 |    1354.42358 |      52.50000 |       5.00000 |  -21846.37891 |     408.45419 |   49734.32813 |     -69.88602 |      -5.32046 |      45.24295 |     293.10852 |       0.04824 | 
    299.11920 |       2.06983 |       2.06983 |       0.00000 |      15.93058 |      16.93057 |      55.10740 |     144.63829 |     157.47351 |     162.37355 |     161.80681 |     166.44678 |     186.85616 |     186.85617 |      -0.02194 |      -0.03729 |      -0.00034 |       0.81695 |      -0.20972 |     236.86270 |     235.38947 |       5.60376 |       0.03077 |     236.85078 |      -4.78855 |      -0.05578 |      52.05243 |       4.67988 |    2079.59863 |    2085.14990 |       0.00000 |    1932.66016 |      52.50000 |       5.00000 |  -21916.13867 |     401.97049 |   49779.44922 |     -69.87009 |      -7.56342 |      45.15075 |     565.68353 |       0.09310 | 
    300.11633 |       3.06696 |       3.06696 |       0.00000 |      15.93085 |      16.93085 |      55.10768 |     154.66359 |     158.21005 |     163.06963 |     162.13776 |     177.98369 |     187.65718 |     187.65717 |       0.02213 |       0.00560 |      -0.00008 |       0.55845 |       0.15906 |     236.85170 |     235.37880 |       6.68493 |      -0.01402 |     236.84555 |      -6.12817 |      -0.00567 |      52.05202 |       4.67886 |    2053.32495 |    2058.41919 |       0.00000 |    2047.28125 |      52.50000 |       5.00000 |  -21985.85938 |     393.37030 |   49824.50391 |     -70.00271 |      -9.54803 |      45.23307 |     838.02802 |       0.13792 | 
