  _Vind,_kias |   _Vind,_keas |   Vtrue,_ktas |   Vtrue,_ktgs |   _Vind,__mph |   Vtrue,mphas |   Vtrue,mphgs |   ____M,_ftlb |   ____L,_ftlb |   ____N,_ftlb |   ____Q,rad/s |   ____P,rad/s |   ____R,rad/s |   pitch,__deg |   _roll,__deg |   hding,_true |   hding,__mag |   alpha,__deg |   _beta,__deg |   hpath,__deg |   vpath,__deg |   _slip,__deg |   __lat,__deg |   __lon,__deg |   __alt,ftmsl |   __alt,ftagl |   ___on,runwy |   __alt,__ind |   __lat,orign |   __lon,orign |   ____X,____m |   ____Y,____m |   ____Z,____m |   ___vX,__m/s |   ___vY,__m/s |   ___vZ,__m/s |   _dist,___ft |   _dist,___nm | 
    143.68655 |     157.51659 |     162.42039 |     161.84357 |     165.35153 |     186.91006 |     186.91006 |   73084.40625 |  -11093.49805 |    -251.51691 |      -0.04216 |      -0.00204 |       0.00047 |      -0.01986 |       0.17382 |      57.23893 |      55.91833 |       4.81124 |      -0.01150 |      57.23508 |      -4.83026 |      -0.02514 |      51.86249 |       4.20436 |    2080.24561 |    2083.15283 |       0.00000 |    1919.09692 |      51.50000 |       4.00000 |   14049.89355 |     490.79962 |  -40375.95703 |      69.87096 |      -7.47722 |     -45.20831 |     548.32037 |       0.09024 | 
    145.96793 |     157.59258 |     162.49173 |     161.86057 |     167.97690 |     186.99216 |     186.99216 |   74627.98438 |   -1588.18445 |    -366.85400 |      -0.04016 |      -0.00262 |       0.00045 |      -0.29131 |       0.15759 |      57.24129 |      55.92065 |       4.76122 |      -0.00914 |      57.23657 |      -5.05168 |      -0.02518 |      51.86254 |       4.20447 |    2077.51001 |    2080.52100 |       0.00000 |    1948.01135 |      51.50000 |       4.00000 |   14057.96289 |     489.91498 |  -40381.17578 |      69.87867 |      -7.80232 |     -45.20930 |     579.85480 |       0.09543 | 
    147.64906 |     157.66605 |     162.56157 |     161.88069 |     169.91151 |     187.07253 |     187.07251 |   73623.98438 |   -3516.09448 |    -788.18231 |      -0.03843 |      -0.00340 |       0.00042 |      -0.51556 |       0.13944 |      57.24327 |      55.92260 |       4.73108 |      -0.00676 |      57.23776 |      -5.24579 |      -0.02489 |      51.86258 |       4.20458 |    2075.04004 |    2078.14087 |       0.00000 |    1968.88831 |      51.50000 |       4.00000 |   14064.95215 |     489.11810 |  -40385.69922 |      69.88760 |      -8.08781 |     -45.21177 |     607.16333 |       0.09993 | 
    149.09277 |     157.74742 |     162.63933 |     161.90488 |     171.57291 |     187.16200 |     187.16200 |  211583.81250 |  -39414.51953 |   -2557.54956 |      -0.03503 |      -0.00578 |       0.00036 |      -0.72630 |       0.11468 |      57.24512 |      55.92441 |       4.72167 |      -0.00375 |      57.23865 |      -5.44711 |      -0.02493 |      51.86262 |       4.20468 |    2072.47339 |    2075.66431 |       0.00000 |    1986.38989 |      51.50000 |       4.00000 |   14071.94531 |     488.29166 |  -40390.22266 |      69.89801 |      -8.38435 |     -45.21566 |     634.49127 |       0.10442 | 
    150.33136 |     157.83690 |     162.72519 |     161.93097 |     172.99825 |     187.26082 |     187.26082 |  379967.71875 |  -86427.87500 |   -6404.17773 |      -0.02720 |      -0.01390 |       0.00019 |      -0.90225 |       0.05646 |      57.24646 |      55.92572 |       4.76177 |       0.00226 |      57.23874 |      -5.66316 |      -0.02801 |      51.86266 |       4.20478 |    2069.80518 |    2073.08618 |       0.00000 |    2000.95313 |      51.50000 |       4.00000 |   14078.93945 |     487.43436 |  -40394.74609 |      69.90855 |      -8.70289 |     -45.22093 |     661.81891 |       0.10892 | 
    151.39592 |     157.93347 |     162.81808 |     161.95773 |     174.22331 |     187.36772 |     187.36771 |  668735.93750 |  -53599.32422 |   -7784.36328 |      -0.01406 |      -0.02211 |      -0.00007 |      -1.01711 |      -0.05319 |      57.24675 |      55.92598 |       4.87640 |       0.01189 |      57.23860 |      -5.89266 |      -0.02961 |      51.86270 |       4.20488 |    2067.02466 |    2070.39526 |       0.00000 |    2012.99597 |      51.50000 |       4.00000 |   14085.94531 |     486.54257 |  -40399.27734 |      69.91919 |      -9.04158 |     -45.22652 |     689.19434 |       0.11343 | 
    152.30759 |     158.03500 |     162.91583 |     161.98466 |     175.27245 |     187.48021 |     187.48021 |  823351.81250 |  -20326.87305 |   -7970.83594 |       0.00456 |      -0.02536 |      -0.00031 |      -1.03644 |      -0.19198 |      57.24566 |      55.92486 |       5.09322 |       0.02340 |      57.23852 |      -6.12885 |      -0.02462 |      51.86274 |       4.20498 |    2064.13574 |    2067.59644 |       0.00000 |    2022.82178 |      51.50000 |       4.00000 |   14092.93750 |     485.61798 |  -40403.80078 |      69.92991 |      -9.39052 |     -45.23202 |     716.51660 |       0.11792 | 
    153.08887 |     158.14034 |     163.01721 |     162.01701 |     176.17152 |     187.59688 |     187.59688 |  833800.56250 |    -495.75336 |   -7738.55713 |       0.02417 |      -0.02613 |      -0.00050 |      -0.94473 |      -0.34054 |      57.24290 |      55.92206 |       5.40620 |       0.03633 |      57.23788 |      -6.35019 |      -0.01603 |      51.86278 |       4.20508 |    2061.13989 |    2064.69019 |       0.00000 |    2030.75073 |      51.50000 |       4.00000 |   14099.92285 |     484.66074 |  -40408.32031 |      69.94257 |      -9.71833 |     -45.23987 |     743.81024 |       0.12242 | 
    153.76050 |     158.24815 |     163.12091 |     162.05675 |     176.94443 |     187.71620 |     187.71620 |  836008.00000 |   22788.79688 |   -7244.87988 |       0.04383 |      -0.02494 |      -0.00064 |      -0.73993 |      -0.48775 |      57.23816 |      55.91729 |       5.80893 |       0.05041 |      57.23639 |      -6.54823 |      -0.00531 |      51.86282 |       4.20519 |    2058.03320 |    2061.67358 |       0.00000 |    2037.07263 |      51.50000 |       4.00000 |   14106.93066 |     483.66962 |  -40412.85156 |      69.95781 |     -10.01267 |     -45.25103 |     771.19153 |       0.12692 | 
    154.33278 |     158.35669 |     163.22510 |     162.10866 |     177.60300 |     187.83609 |     187.83607 |  516545.43750 |   56754.34766 |   -5224.66113 |       0.05975 |      -0.01923 |      -0.00069 |      -0.43198 |      -0.61210 |      57.23148 |      55.91058 |       6.27364 |       0.06360 |      57.23405 |      -6.70508 |       0.00799 |      51.86287 |       4.20529 |    2054.85083 |    2058.58057 |       0.00000 |    2041.97302 |      51.50000 |       4.00000 |   14113.91699 |     482.65549 |  -40417.37109 |      69.97778 |     -10.24738 |     -45.26701 |     798.49103 |       0.13141 | 
